source,target,nb
International 1886-1949,International 1950-2019,1
International 1950-2019,International 2020-2020,1
Sovereign 1816-1885,Sovereign 1886-1949,14
Sovereign 1816-1885,Part of 1886-1949,7
Sovereign 1886-1949,Sovereign 1950-2019,40
Sovereign 1886-1949,Part of 1950-2019,1
Sovereign 1886-1949,Protectorate of 1950-2019,1
Sovereign 1886-1949,Occupied by 1950-2019,1
Sovereign 1950-2019,Sovereign 2020-2020,75
Sovereign 1950-2019,Sovereign (unrecognized) 2020-2020,1
Colony of 1816-1885,Colony of 1886-1949,52
Colony of 1816-1885,Part of 1886-1949,38
Colony of 1816-1885,Sovereign 1886-1949,5
Colony of 1816-1885,Sovereign (unrecognized) 1886-1949,2
Colony of 1816-1885,Occupied by 1886-1949,1
Colony of 1816-1885,Possession of 1886-1949,1
Colony of 1886-1949,Colony of 1950-2019,47
Colony of 1886-1949,Dependency of 1950-2019,2
Colony of 1886-1949,Sovereign 1950-2019,9
Colony of 1886-1949,Part of 1950-2019,36
Colony of 1886-1949,Protectorate of 1950-2019,2
Colony of 1886-1949,Mandated to 1950-2019,3
Colony of 1886-1949,Occupied by 1950-2019,1
Colony of 1950-2019,Part of 2020-2020,7
Colony of 1950-2019,Colony of 2020-2020,10
Colony of 1950-2019,Dependency of 2020-2020,7
Colony of 1950-2019,Sovereign 2020-2020,33
Colony of 1950-2019,Sovereign (unrecognized) 2020-2020,1
Colony of 1950-2019,Claimed by 2020-2020,1
Colony of 1950-2019,Associated state of 2020-2020,2
Sovereign (limited) 1816-1885,Sovereign (limited) 1886-1949,3
Sovereign (limited) 1816-1885,Sovereign (unrecognized) 1886-1949,1
Sovereign (limited) 1816-1885,Part of 1886-1949,24
Sovereign (limited) 1886-1949,Colony of 1950-2019,1
Sovereign (limited) 1886-1949,Sovereign 1950-2019,2
Part of 1816-1885,Colony of 1886-1949,19
Part of 1816-1885,Part of 1886-1949,339
Part of 1816-1885,Sovereign 1886-1949,12
Part of 1816-1885,Occupied by 1886-1949,4
Part of 1816-1885,Protectorate of 1886-1949,10
Part of 1816-1885,Vassal of 1886-1949,15
Part of 1816-1885,Sovereign (unrecognized) 1886-1949,8
Part of 1816-1885,Leased to 1886-1949,10
Part of 1816-1885,Possession of 1886-1949,3
Part of 1816-1885,Unknown 1886-1949,2
Part of 1886-1949,Part of 1950-2019,452
Part of 1886-1949,Sovereign 1950-2019,13
Part of 1886-1949,Leased to 1950-2019,4
Part of 1886-1949,Protectorate of 1950-2019,5
Part of 1886-1949,Occupied by 1950-2019,17
Part of 1886-1949,Mandated to 1950-2019,1
Part of 1886-1949,Sovereign (unrecognized) 1950-2019,3
Part of 1886-1949,Colony of 1950-2019,8
Part of 1886-1949,Claimed by 1950-2019,3
Part of 1886-1949,Dependency of 1950-2019,3
Part of 1886-1949,Neutral or demilitarized zone of 1950-2019,3
Part of 1886-1949,Dissolved into 1950-2019,1
Part of 1950-2019,Part of 2020-2020,601
Part of 1950-2019,Sovereign 2020-2020,45
Part of 1950-2019,Colony of 2020-2020,5
Part of 1950-2019,Sovereign (unrecognized) 2020-2020,8
Part of 1950-2019,Dependency of 2020-2020,43
Part of 1950-2019,Leased to 2020-2020,2
Part of 1950-2019,Neutral or demilitarized zone of 2020-2020,4
Part of 1950-2019,Possession of 2020-2020,1
