GPH_name,COW_id,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kuwait,690,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un | prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,sov | prot,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov | occ,sov | occ,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
Bahrain,692,part,part,part,part,prot | part,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,sov | prot,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
Qatar,694,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep | vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass,vass | occ,occ,occ,prot | occ,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,sov | prot,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
United Arab Emirates (Trucial Oman),696,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un | prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,sov | prot,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
Oman (Sultanate of Muscat and Oman),698,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov | sov_un,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
Afghanistan,700,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | occ,sov_un | prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot | occ,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,sov | prot,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov | occ,sov | occ,sov | occ,sov | occ,sov | occ,sov | occ,sov | occ,sov | occ,sov | occ,sov | occ,sov | occ,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
Turkmenistan,701,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part | part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,sov | part,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
Tajikistan,702,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part,part | part | part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,sov | part,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
Kyrgyzstan,703,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part | part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,sov | part,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
Uzbekistan,704,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part,part | part | part | part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,sov | part,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
Kazakhstan,705,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot,prot | part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,sov | part,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
People's Republic of China (China),710,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov | sov_un,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov | occ,sov | occ,sov | occ,sov | occ,sov | occ,sov | occ,sov | occ,sov | occ,sov | occ,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
Manchukuo,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,occ,occ,occ,occ,occ,occ,occ,occ,occ,occ,occ,occ,occ,occ | part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part
Mongolia,712,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,sov_un | part,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un | occ,occ,sov | occ | occ,sov | occ,sov | occ,sov | occ,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
Republic of China (Taiwan) (Formosa),713,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,col | part,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,sov | col,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov | sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un
Hong Kong,720,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,occ | part,occ,col | occ,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col | occ,occ,occ,col | occ,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col | dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep
Macao,721,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col | dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep,dep
Korea (Chosen),730,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov | sov_un,sov,sov,sov,sov,sov,sov,sov,sov | occ,occ,prot | occ,prot,prot,prot | col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col,col | occ,occ,occ,dis | dis | occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea (Democratic People's Republic of Korea),731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,occ,occ,occ,sov | occ,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
South Korea (Republic of South Korea),732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,occ,occ,occ,sov | occ,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
Far Eastern Republic,735,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,sov_un | part,sov_un,sov_un | part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part
Japan,740,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov_un,sov | sov_un,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov | occ,occ,occ,occ,occ,occ,occ,sov | occ,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov,sov
